Symbol,Token,,,,NIFTY 50,,,,,
ASIANPAINT,236,,,,,,,,,
ARTNIRMAN,6159,,,,,,,,,
ARTEMISMED,16913,,,,,,,,,
ARSSINFRA,18206,,,,,,,,,
ARSHIYA,17825,,,,,,,,,
ARROWGREEN,9260,,,,,,,,,
AROGRANITE,14557,,,,,,,,,
ARVEE,2820,,,,,,,,,
ARMANFIN,17263,,,,,,,,,
ARIHANTSUP,20159,,,,,,,,,
ARIHANTCAP,3813,,,,,,,,,
ARIHANTACA,13340,,,,,,,,,
ARIES,15204,,,,,,,,,
ARHAM,13098,,,,,,,,,
ARENTERP,181,,,,,,,,,
ARISTO,13926,,,,,,,,,
ASIANTILES,14889,,,,,,,,,
ARVIND,193,,,,,,,,,
ARVSMART,10457,,,,,,,,,
ASIANHOTNR,18425,,,,,,,,,
ASIANENE,7030,,,,,,,,,
ASHOKLEY,212,,,,,,,,,
ASHOKAMET,16947,,,,,,,,,
ASHOKA,20182,,,,,,,,,
ARVINDFASN,9111,,,,,,,,,
ASHIMASYN,206,,,,,,,,,
ASHAPURMIN,203,,,,,,,,,
ASCOM,15030,,,,,,,,,
ASALCBR,17598,,,,,,,,,
ASAL,10634,,,,,,,,,
ASAHISONG,25088,,,,,,,,,
ASAHIINDIA,5378,,,,,,,,,
ASHIANA,24403,,,,,,,,,
AVPINFRA,23159,,,,,,,,,
AVROIND,8827,,,,,,,,,
AVSL,18693,,,,,,,,,
BBTC,380,,,,,,,,,
BBOX,3435,,,,,,,,,
BBL,13761,,,,,,,,,
BAYERCROP,17927,,,,,,,,,
BAWEJA,22571,,,,,,,,,
BATAINDIA,371,,,,,,,,,
BBTCL,12153,,,,,,,,,
BASML,12034,,,,,,,,,
BASF,368,,,,,,,,,
BARBEQUE,3127,,,,,,,,,
BANSWRAS,14511,,,,,,,,,
BANKINDIA,4745,,,,,,,,,
BANKBARODA,4668,,,,,,,,,
BASILIC,18442,,,,,,,,,
BANKA,828,,,,,,,,,
BCG,23580,,,,,,,,,
BCONCEPTS,7780,,,,,,,,,
BFUTILITIE,14567,,,,,,,,,
BFINVEST,21113,,,,,,,,,
BEWLTD,5662,,,,,,,,,
BETA,81,,,,,,,,,
BESTAGRO,2306,,,,,,,,,
BERGEPAINT,404,,,,,,,,,
BCLIND,2513,,,,,,,,,
BEPL,419,,,,,,,,,
BEL,383,,,,,,,,,
BEDMUTHA,20196,,,,,,,,,
BECTORFOOD,1628,,,,,,,,,
BEARDSELL,17933,,,,,,,,,
BDR,4294,,,,,,,,,
BDL,2144,,,,,,,,,
BEML,395,,,,,,,,,
BANG,15303,,,,,,,,,
BANDHANBNK,2263,,,,,,,,,
BANCOINDIA,13880,,,,,,,,,
BAJAJ-AUTO,16669,,,,,,,,,
BAIDFIN,13794,,,,,,,,,
BAHETI,12989,,,,,,,,,
BAGFILMS,14075,,,,,,,,,
BABAFP,20141,,,,,,,,,
BAJAJCON,19531,,,,,,,,,
AZAD,20905,,,,,,,,,
AXITA,9902,,,,,,,,,
AXISCADES,9436,,,,,,,,,
AXISBANK,5900,,,,,,,,,
AWL,8110,,,,,,,,,
AWHCL,1797,,,,,,,,,
AVTNPL,14008,,,,,,,,,
AYMSYNTEX,10285,,,,,,,,,
BAJAJELEC,15034,,,,,,,,,
BAJAJFINSV,16675,,,,,,,,,
BAJAJHCARE,6863,,,,,,,,,
BANARISUG,350,,,,,,,,,
BANARBEADS,347,,,,,,,,,
